watchlist_type,watchlist_name,exchange_code,stock_symbol
Stocks in Index,S&P 500 stocks,,MPWR
Stocks in Index,S&P 500 stocks,,EXR
Stocks in Index,S&P 500 stocks,,GEHC
Stocks in Index,S&P 500 stocks,,DAL
Stocks in Index,S&P 500 stocks,,BRO
Stocks in Index,S&P 500 stocks,,KHC
Stocks in Index,S&P 500 stocks,,CSGP
Stocks in Index,S&P 500 stocks,,MCHP
Stocks in Index,S&P 500 stocks,,A
Stocks in Index,S&P 500 stocks,,HSY
Stocks in Index,S&P 500 stocks,,TKO
Stocks in Index,S&P 500 stocks,,WTW
Stocks in Index,S&P 500 stocks,,XYL
Stocks in Index,S&P 500 stocks,,NRG
Stocks in Index,S&P 500 stocks,,ANSS
Stocks in Index,S&P 500 stocks,,RJF
Stocks in Index,S&P 500 stocks,,CCL
Stocks in Index,S&P 500 stocks,,TPL
Stocks in Index,S&P 500 stocks,,GIS
Stocks in Index,S&P 500 stocks,,MTB
Stocks in Index,S&P 500 stocks,,VTR
Stocks in Index,S&P 500 stocks,,CNC
Stocks in Index,S&P 500 stocks,,K
Stocks in Index,S&P 500 stocks,,DD
Stocks in Index,S&P 500 stocks,,AVB
Stocks in Index,S&P 500 stocks,,LVS
Stocks in Index,S&P 500 stocks,,IRM
Stocks in Index,S&P 500 stocks,,BR
Stocks in Index,S&P 500 stocks,,DTE
Stocks in Index,S&P 500 stocks,,KEYS
Stocks in Index,S&P 500 stocks,,LEN
Stocks in Index,S&P 500 stocks,,AWK
Stocks in Index,S&P 500 stocks,,ROL
Stocks in Index,S&P 500 stocks,,STT
Stocks in Index,S&P 500 stocks,,HUM
Stocks in Index,S&P 500 stocks,,WRB
Stocks in Index,S&P 500 stocks,,EXE
Stocks in Index,S&P 500 stocks,,HPQ
Stocks in Index,S&P 500 stocks,,EQR
Stocks in Index,S&P 500 stocks,,VRSN
Stocks in Index,S&P 500 stocks,,TSCO
Stocks in Index,S&P 500 stocks,,GDDY
Stocks in Index,S&P 500 stocks,,AEE
Stocks in Index,S&P 500 stocks,,IP
Stocks in Index,S&P 500 stocks,,NUE
Stocks in Index,S&P 500 stocks,,PPL
Stocks in Index,S&P 500 stocks,,PPG
Stocks in Index,S&P 500 stocks,,FITB
Stocks in Index,S&P 500 stocks,,VLTO
Stocks in Index,S&P 500 stocks,,UAL
Stocks in Index,S&P 500 stocks,,FOXA
Stocks in Index,S&P 500 stocks,,ATO
Stocks in Index,S&P 500 stocks,,SMCI
Stocks in Index,S&P 500 stocks,,DOV
Stocks in Index,S&P 500 stocks,,SBAC
Stocks in Index,S&P 500 stocks,,TYL
Stocks in Index,S&P 500 stocks,,CNP
Stocks in Index,S&P 500 stocks,,FE
Stocks in Index,S&P 500 stocks,,CDW
Stocks in Index,S&P 500 stocks,,STE
Stocks in Index,S&P 500 stocks,,CBOE
Stocks in Index,S&P 500 stocks,,IQV
Stocks in Index,S&P 500 stocks,,DRI
Stocks in Index,S&P 500 stocks,,FTV
Stocks in Index,S&P 500 stocks,,FOX
Stocks in Index,S&P 500 stocks,,MTD
Stocks in Index,S&P 500 stocks,,CHD
Stocks in Index,S&P 500 stocks,,EL
Stocks in Index,S&P 500 stocks,,ES
Stocks in Index,S&P 500 stocks,,SW
Stocks in Index,S&P 500 stocks,,STX
Stocks in Index,S&P 500 stocks,,HPE
Stocks in Index,S&P 500 stocks,,ADM
Stocks in Index,S&P 500 stocks,,CPAY
Stocks in Index,S&P 500 stocks,,TDY
Stocks in Index,S&P 500 stocks,,CINF
Stocks in Index,S&P 500 stocks,,PODD
Stocks in Index,S&P 500 stocks,,HBAN
Stocks in Index,S&P 500 stocks,,WBD
Stocks in Index,S&P 500 stocks,,DG
Stocks in Index,S&P 500 stocks,,SYF
Stocks in Index,S&P 500 stocks,,EIX
Stocks in Index,S&P 500 stocks,,NVR
Stocks in Index,S&P 500 stocks,,TROW
