watchlist_type,watchlist_name,exchange_code,stock_symbol
Stocks in Index,S&P 500 stocks,XNYS,DAL
Stocks in Index,S&P 500 stocks,XNYS,BRO
Stocks in Index,S&P 500 stocks,XNAS,KHC
Stocks in Index,S&P 500 stocks,XNAS,CSGP
Stocks in Index,S&P 500 stocks,XNAS,MCHP
Stocks in Index,S&P 500 stocks,XNYS,A
Stocks in Index,S&P 500 stocks,XNYS,HSY
Stocks in Index,S&P 500 stocks,XNYS,TKO
Stocks in Index,S&P 500 stocks,XNAS,WTW
Stocks in Index,S&P 500 stocks,XNYS,XYL
Stocks in Index,S&P 500 stocks,XNYS,NRG
Stocks in Index,S&P 500 stocks,XNAS,ANSS
Stocks in Index,S&P 500 stocks,XNYS,RJF
Stocks in Index,S&P 500 stocks,XNYS,CCL
Stocks in Index,S&P 500 stocks,XNYS,TPL
Stocks in Index,S&P 500 stocks,XNYS,GIS
Stocks in Index,S&P 500 stocks,XNYS,MTB
Stocks in Index,S&P 500 stocks,XNYS,VTR
Stocks in Index,S&P 500 stocks,XNYS,CNC
Stocks in Index,S&P 500 stocks,XNYS,K
Stocks in Index,S&P 500 stocks,XNYS,DD
Stocks in Index,S&P 500 stocks,XNYS,AVB
Stocks in Index,S&P 500 stocks,XNYS,LVS
Stocks in Index,S&P 500 stocks,XNYS,IRM
Stocks in Index,S&P 500 stocks,XNYS,BR
Stocks in Index,S&P 500 stocks,XNYS,DTE
Stocks in Index,S&P 500 stocks,XNYS,KEYS
Stocks in Index,S&P 500 stocks,XNYS,LEN
Stocks in Index,S&P 500 stocks,XNYS,AWK
Stocks in Index,S&P 500 stocks,XNYS,ROL
Stocks in Index,S&P 500 stocks,XNYS,STT
Stocks in Index,S&P 500 stocks,XNYS,HUM
Stocks in Index,S&P 500 stocks,XNYS,WRB
Stocks in Index,S&P 500 stocks,,EXE
Stocks in Index,S&P 500 stocks,XNYS,HPQ
Stocks in Index,S&P 500 stocks,XNYS,EQR
Stocks in Index,S&P 500 stocks,XNAS,VRSN
Stocks in Index,S&P 500 stocks,XNAS,TSCO
Stocks in Index,S&P 500 stocks,XNYS,GDDY
Stocks in Index,S&P 500 stocks,XNYS,AEE
Stocks in Index,S&P 500 stocks,XNYS,IP
Stocks in Index,S&P 500 stocks,XNYS,NUE
Stocks in Index,S&P 500 stocks,XNYS,PPL
Stocks in Index,S&P 500 stocks,XNYS,PPG
Stocks in Index,S&P 500 stocks,XNAS,FITB
Stocks in Index,S&P 500 stocks,XNYS,VLTO
Stocks in Index,S&P 500 stocks,XNAS,UAL
Stocks in Index,S&P 500 stocks,XNAS,FOXA
Stocks in Index,S&P 500 stocks,XNYS,ATO
Stocks in Index,S&P 500 stocks,XNAS,SMCI
Stocks in Index,S&P 500 stocks,XNYS,DOV
Stocks in Index,S&P 500 stocks,XNAS,SBAC
Stocks in Index,S&P 500 stocks,XNYS,TYL
Stocks in Index,S&P 500 stocks,XNYS,CNP
Stocks in Index,S&P 500 stocks,XNYS,FE
Stocks in Index,S&P 500 stocks,XNAS,CDW
Stocks in Index,S&P 500 stocks,XNYS,STE
Stocks in Index,S&P 500 stocks,BATS,CBOE
Stocks in Index,S&P 500 stocks,XNYS,IQV
Stocks in Index,S&P 500 stocks,XNYS,DRI
Stocks in Index,S&P 500 stocks,XNYS,FTV
Stocks in Index,S&P 500 stocks,XNAS,FOX
Stocks in Index,S&P 500 stocks,XNYS,MTD
Stocks in Index,S&P 500 stocks,XNYS,CHD
Stocks in Index,S&P 500 stocks,XNYS,EL
Stocks in Index,S&P 500 stocks,XNYS,ES
Stocks in Index,S&P 500 stocks,XNYS,SW
Stocks in Index,S&P 500 stocks,XNAS,STX
Stocks in Index,S&P 500 stocks,XNYS,HPE
Stocks in Index,S&P 500 stocks,XNYS,ADM
Stocks in Index,S&P 500 stocks,XNYS,CPAY
Stocks in Index,S&P 500 stocks,XNYS,TDY
Stocks in Index,S&P 500 stocks,XNAS,CINF
Stocks in Index,S&P 500 stocks,XNAS,PODD
Stocks in Index,S&P 500 stocks,XNAS,HBAN
Stocks in Index,S&P 500 stocks,XNAS,WBD
Stocks in Index,S&P 500 stocks,XNYS,DG
Stocks in Index,S&P 500 stocks,XNYS,SYF
